node_id	label_en	label_zh	polarity	canonical_ja	canonical_ja_tag	canonical_ja_notes	canonical_ko	canonical_ko_tag	canonical_ko_notes	n_ja_candidates	n_ko_candidates
BeInLove|恋爱	BeInLove	恋爱	pos	恋愛中	full	「BeInLove」や「恋爱」が指す「まさに恋愛の真っ最中である状態」を最も直接的かつ正確に表しているから。	연애	full	표준 명사 형태. 연인 관계에 있는 상태를 의미함, 문어/구어 모두 자연스럽게 사용 가능함.	3	2
FeelingByGood|好情	FeelingByGood	好情	pos	気分がいい	full	最も直接的で、一般的な「良い気分」を指す表現。気持ちの良さをストレートに伝える。	기분 좋음	full	이는 메타 범주 (좋은 원인으로 인해 발생하는 모든 긍정적 감정 일반)이며, 한국어는 단일 어휘로 직접 표현하지 않음. '기분 좋다'와 같은 구절로만 표현 가능. 단일 lexical entry는 없음.	5	1
FondOf|喜欢	FondOf	喜欢	pos	好き	full	「Fond of」は「〜が好きだ」という穏やかな好意を表し、最も直接的な訳語である。日常的に広く使われ、ニュアンスも近い。	좋아함	full	표준 타동사 형태. 사람이나 사물에 대해 호감을 느끼는 일반적인 상태를 의미하며, 모든 register에서 사용 가능.	5	2
Pride|傲气	Pride	傲气	pos	誇り	full	英語の「Pride」が持つ「自身や自分の属するものに対する誇らしい気持ち」を最も自然に表す。肯定的な意味での「誇り」は「傲気」の負のニュアンスを含まないが、原語の第一義に忠実である。	자랑스러움	full	표준 명사 형태. 자신이나 자신과 관련된 것에 대해 긍지와 자부심을 느끼는 상태를 의미하며, 긍정적인 뉘앙스를 가짐.	5	2
SeekPleasure|寻欢	SeekPleasure	寻欢	pos	快楽を求める	full	「Seek pleasure」の直訳であり、広く「楽しみや喜びを能動的に探す」という最も基本的な意味を正確に捉えている。否定的な響きも強くなく、原語の第一義に忠実である。	쾌락 추구	partial	구성된 명사구. 쾌락을 찾아 즐기는 행위를 의미하며, 단일 어휘로는 표현하기 어려움. 약간 부정적인 뉘앙스를 가질 수 있음.	4	2
ShowGoodEmotion|表示好情感	ShowGoodEmotion	表示好情感	pos	喝采する	full	「拍手や歓声をあげて賞賛すること」を指し、公演や試合などで良い感情を示す行為として、原語の「賞賛の表明」を完璧に捉えている。	좋은 감정 보여주다	full	이는 한국어는 단일 어휘로 직접 표현하지 않음. '좋은 감정을 보여주'란 같은 구절로만 표현 가능. 	4	1
ShowJoy|示喜	ShowJoy	示喜	pos	喜びを示す	full	「Show Joy」の直訳であり、「喜びという感情を外に向けて表現する」という動作を最も正確に捉えている。動作主が意図的に表出するニュアンスも含むため、原語の第一義に忠実である。	[no single lexical equivalent]	no_correspondence	이 sememe는 메타 범주 (기쁨의 감정을 외부로 표현하는 행위 일반)이며, 한국어는 단일 어휘로 직접 표현하지 않음. '기쁨을 드러내다', '기뻐하다' 와 같은 구절로만 표현 가능. 단일 lexical entry는 없음 → no_correspondence.	4	1
ShowLove|示爱	ShowLove	示爱	pos	愛を示す	full	最も直訳的で、行動・言葉・態度などあらゆる方法で愛情を外に表す広い意味を正確に捉えている。	애정 표현	full	구성된 명사구. 사랑의 감정을 말이나 행동으로 나타내는 모든 행위를 의미하며, '고백'보다 의미 범위가 넓음.	5	2
ardent|热情	ardent	热情	pos	熱烈	full	「ardent」が持つ「感情や態度が非常に強く、激しい」というニュアンスを最も的確に表す。特に愛情・支持・願望などに対して使われ、原語の第一義に忠実である。	열정	full	표준 명사 형태. 어떤 일이나 사람에 대해 강하고 뜨거운 애정을 느끼는 상태를 의미하며, 모든 register에서 사용 가능.	5	1
calm|镇静	calm	镇静	pos	冷静	full	「calm」が持つ「感情の高ぶりがなく、理性的に状況を判断できる状態」を最も正確に表す。日本語で「镇静」の第一義として最も一般的に使われる。	침착함	full	표준 명사 형태. 마음이 안정되어 흥분하지 않는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
enjoy|享受	enjoy	享受	pos	楽しむ	full	enjoy」の最も標準的な訳であり、何かをして喜びや楽しさを感じることを広く表す。中国語の「享受」が持つ「愉しむ」という基本義に完全に対応し、日常的にも幅広く使われる。	즐김	full	표준 명사 형태. 어떤 일이나 상황을 기쁘게 받아들이는 상태를 의미하며, 구어에서 더 자주 사용.	5	2
grateful|感激	grateful	感激	pos	感謝している	full	「grateful」の最も正確な訳であり、「ありがたく思っている状態」をストレートに表現する。品詞も一致している。	감사함	full	표준 명사 형태. 남의 도움이나 은혜에 대해 고마움을 느끼는 상태를 의미하며, 모든 register에서 사용 가능.	5	2
happy|幸福	happy	幸福	pos	幸せ	full	「happy」も「幸福」も、主観的な満足感や良い感情状態を幅広く指す。「幸せ」は一時的な喜びから人生全体の充実までカバーし、両原語のコアな意味を最もバランスよく捉えている。	행복	full	표준 명사 형태. 삶 전반에 걸쳐 만족하고 기쁜 상태를 의미하며, 지속적인 긍정적 감정을 나타냄.	5	2
hopeful|有望	hopeful	有望	pos	有望	full	中国語の「有望」と全く同じ漢字・意味を持ち、未来に良い結果が期待できる状態を表す。英語の「hopeful」のうち、特に「見込みがある」という客観的な側面を最も正確に捉えている。	바람직함	full	표준 형용사 명사화 형태. 어떤 일이 이뤄질 가능성이 ᄏᆖᆫ 것을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
joyful|喜悦	joyful	喜悦	pos	喜ばしい	full	「joyful」の持つ「喜びに値する」「喜びを感じさせる」という客観的な性質を最も正確に表す。中国語の「喜悦」の形容詞的用法にも合致し、書き言葉・話し言葉ともに適している。	기쁨	full	표준 명사 형태. 즐겁고 기쁜 감정을 의미하며, 모두 사용 가능.	4	2
like|爱惜	like	爱惜	pos	大切にする	full	「爱惜」の最も核心的な意味である「物や時間、人などを大事に扱い、無駄にしない」という行為を正確に表す。能動的な「大切に扱う」動作として最適である。	아낌	full	표준 명사 형태. 소중한 것을 아끼고 소중히 여기는 마음을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
love|爱	love	爱	pos	愛	full	「love」の最も直接的で包括的な名詞訳である。家族愛・恋愛・友人愛・対象への愛情など、あらゆる「爱」の概念をカバーし、抽象度と具体性のバランスに優れる。	사랑	full	표준어. 정서적 폭이 가장 넓고 (가족, 연인, 추상물 모두 포함) 기본 양상.	5	2
optimistic|乐观	optimistic	乐观	pos	楽観的	full	「optimistic」の最も標準的な訳語であり、物事を良い方向に考え、悪い面を気にしない態度を正確に表す。中国語の「乐观」と全く同じ漢字・意味であり、第一義に忠実である。	낙관적	full	명사 형태. 미래에 대해 긍정적으로 생각하는 태도를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
passionate|有情	passionate	有情	pos	情熱的	full	「passionate」が持つ「感情が強く燃え上がるような熱意」を最も正確に表す。中国語の「有情」が時に含む「深い愛情」とも重なる部分があり、原語の第一義に忠実である。	다정함	full	표준 형용사 명사화 형태. 감정이 풍부하고 정이 많은 것을 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	1
tease|取乐	tease	取乐	pos	からかう	full	「tease」の最も標準的な訳であり、相手を軽く笑いものにしたり、冗談めかして困らせたりする行為を指す。中国語の「取乐」が持つ「他人を楽しませるための軽い玩弄」というニュアンスに最も忠実である。	놀림	full	표준 명사 형태. 남을 장난스럽게 웃기거나 즐겁게 하는 행위를 의미하며, 구어에서 더 자주 사용.	5	2
ExpressAnger|示怒	ExpressAnger	示怒	neg	怒りを表す	full	最も直訳的であり、「怒りという感情を外部に出す」という「示怒」の動作を正確に捉えている。能動的に表現するニュアンスも原語に忠実である。	[no single lexical equivalent]	no_correspondence	이 sememe는 메타 범주 (분노의 감정을 외부로 표현하는 행위 일반)이며, 한국어는 단일 어휘로 직접 표현하지 않음. '화를 내다', '분노를 드러내다' 와 같은 구절로만 표현 가능. 단일 lexical entry는 없음 → no_correspondence.	5	1
FeelingByBad|坏情	FeelingByBad	坏情	neg	嫌な気持ち	full	悪い感情」を最も直接的かつ広く指す表現であり、不快・悲しみ・怒りなど様々な負の感情を包括する。	기분 나쁨	full	이는 한국어는 단일 어휘로 직접 표현하지 않음. '감정 나쁘다'와 같은 구절로만 표현 가능.	5	1
ShowBadEmotion|表示坏情感	ShowBadEmotion	表示坏情感	neg	不機嫌を示す	full	「不機嫌」は悪い感情の最も典型的な状態であり、「示す」という能動的な表現行為を加えることで、「表示坏情感」の動作を正確に捉えている。	[no single lexical equivalent]	no_correspondence	이 sememe는 메타 범주 (부정적인 감정을 외부로 표현하는 행위 일반)이며, 한국어는 단일 어휘로 직접 표현하지 않음. '나쁜 감정을 드러내다', '불쾌감을 보이다' 와 같은 구절로만 표현 가능. 단일 lexical entry는 없음 → no_correspondence.	5	1
arrogant|傲	arrogant	傲	neg	傲慢	full	「arrogant」の最も標準的な訳語であり、自分を偉く思い、他人を見下す態度を正確に表す。中国語の「傲」の否定的なニュアンスにも完全に対応する。	오만함	full	표준 명사 형태. 자신을 과도하게 높여 남을 업신여기는 태도를 의미하며, 강한 부정적 뉘앙스를 가짐.	5	2
disgust|厌恶	disgust	厌恶	neg	嫌悪	full	「disgust」の最も直接的な訳語であり、強い不快感や受け入れがたい排斥感を表す。中国語の「厌恶」の核心的な意味に完全に対応する。	혐오감	full	표준 명사 형태. 어떤 대상에 대해 강한 불쾌감과 싫어함을 느끼는 상태를 의미하며, 문어/구어 모두 자연스럽게 사용 가능.	5	2
fear|害怕	fear	害怕	neg	恐れる	full	動詞として「恐怖や不安を感じる」ことを示し、「fear」の能動的な意味を正確に捉えている。	두려움	full	표준 명사 형태. '두려워하다' 동사형도 자연스럽게 사용 가능. 일반 문어/구어 모두 사용.	5	2
hate|仇恨	hate	仇恨	neg	憎悪	full	強い嫌悪と敵意を抱く感情を指し、「hate」の最も直接的な名詞形である。中国語の「仇恨」の持つ「深い憎しみ」のニュアンスに最も忠実である。	미움	full	고유어 형용사 명사 형태, 일반적인 싫어함을 의미.	5	2
irritate|激怒	irritate	激怒	neg	怒らせる	full	「irritate」も「激怒」も「他人を怒りの状態にさせる」という他動詞的な意味を持ち、最も直接的で汎用性が高い。	화나게 함	full	단일한 표현이 없음, '화나다' 뒤에 일반적 사동사 표현만 있음	5	1
